City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,rafraf,37.1904,10.1837,19.18,73,50,13.61,TN,1684222951
129,ixtapa,20.7,-105.2,21.74,74,51,0.75,MX,1684222952
130,maragogi,-9.0122,-35.2225,24.72,86,88,0.3,BR,1684222953
131,avarua,-21.2078,-159.775,24.03,78,75,3.09,CK,1684222953
132,blagodatnoye,45.3997,42.5867,21.51,55,8,3.41,RU,1684222954
133,tooele,40.5308,-112.2983,15.5,65,0,2.57,US,1684222954
134,kavieng,-2.5744,150.7967,28.71,74,100,2.31,PG,1684222954
135,gat,31.61,34.7642,30.22,27,3,1.14,IL,1684222954
136,opochka,56.7105,28.6617,12.98,89,100,4.57,RU,1684222955
137,vanimo,-2.6741,141.3028,28.12,86,90,5.61,PG,1684222955
138,kaitangata,-46.2817,169.8464,8.24,81,64,2.18,NZ,1684222956
139,ukiah,39.1502,-123.2078,17.58,81,0,0.45,US,1684222807
140,vila velha,-20.3297,-40.2925,22.19,84,0,2.06,BR,1684222956
141,mabaruma,8.2,-59.7833,22.98,99,92,0.73,GY,1684222956
142,clyde river,70.4692,-68.5914,-5.87,86,100,9.77,CA,1684222764
143,ketchikan,55.3422,-131.6461,16.26,55,0,3.6,US,1684222957
144,stawell,-37.05,142.7667,8.38,56,17,5.01,AU,1684222957
145,victoria,22.2855,114.1577,29.13,87,40,4.53,HK,1684222927
146,kununurra,-15.7667,128.7333,31.99,31,98,5.14,AU,1684222958
147,sisimiut,66.9395,-53.6735,-0.23,61,96,3.99,GL,1684222958
148,manokwari,-0.8667,134.0833,27.49,84,99,3.2,ID,1684222958
149,cherskiy,68.75,161.3,3.03,71,0,7.58,RU,1684222958
150,belgrade,44.804,20.4651,15.81,77,0,7.2,RS,1684222959
151,asau,46.4333,26.4,15.71,55,95,2.58,RO,1684222959
152,kruisfontein,-34.0033,24.7314,13.82,51,12,0.96,ZA,1684222959
153,zhanaozen,43.3,52.8,20.34,41,93,9.15,KZ,1684222959
154,bongandanga,1.5,21.05,30.46,58,4,1.26,CD,1684222960
155,great yarmouth,52.6083,1.7305,11.36,79,16,4.25,GB,1684222960
156,aksu,41.1231,80.2644,31.62,11,0,1.86,CN,1684222961
157,narsaq,60.9167,-46.05,8.12,74,100,2.59,GL,1684222961
158,souillac,-20.5167,57.5167,28.21,65,40,6.69,MU,1684222961
159,kodiak,57.79,-152.4072,5.73,93,100,5.66,US,1684222961
160,tuktoyaktuk,69.4541,-133.0374,-0.55,93,98,3.25,CA,1684222962
161,dingle,10.9995,122.6711,31.34,66,64,2.34,PH,1684222962
162,isangel,-19.55,169.2667,24.72,69,100,5.49,VU,1684222962
163,oruro,-17.9833,-67.15,6.35,57,25,1.8,BO,1684222962
164,vila franca do campo,37.7167,-25.4333,17.23,86,75,1.52,PT,1684222963
165,lensk,60.7253,114.9278,8.77,44,100,4.39,RU,1684222963
